abook 0.6.2+r8+gb5e4a4daec1c-1
webkit2gtk 2.48.6-1
websocat 1.14.0-1
wezterm 20240203.110809.5046fc22-2
wgcf 2.2.22-1
whatsie 4.16.3-1
whois 5.6.4-1
wifite 2:2.7.0-3
winetricks 20250102-1
wireguard-tools 1.0.20250521-1
wireshark-qt 4.4.9-1
wofi 1.5.1-1
x11vnc 1:0.9.17-1
xbanish 1.8-1
xcb-util-errors 1.0.1-2
xclip 0.13-6
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xorg-server 21.1.18-2
xorg-xbacklight 1.2.4-1
xorg-xclipboard 1.1.5-1
xorg-xev 1.2.6-1
xorg-xeyes 1.3.1-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xrandr 1.5.3-1
xorg-xsetroot 1.1.3-2
xterm 401-1
xv 6.0.4-1
yarn 1.22.22-2
yt-dlp 2025.09.05-1
zathura 0.5.12-1
zathura-djvu 0.2.10-5
zathura-pdf-mupdf 0.4.4-23
zotero-bin 7.0.24-1
zoxide 0.9.8-2
zsh 5.9-5
